"race_id","position","driver_id","q1laptime","q2laptime","q3laptime","speedtrap"
"95","11","27","93.048","null","null","316.4"
"95","12","2","93.247","null","null","319.2"
"95","13","38","94.383","null","null","320.4"
"95","14","25","94.626","null","null","322.3"
"95","15","7","94.655","null","null","316.2"
"95","16","39","95.037","null","null","322.1"
"95","17","5","95.504","null","null","313.3"
"95","18","41","95.612","null","null","324.5"
"95","19","33","95.977","null","null","323.7"
"95","20","36","96.437","null","null","329"
"96","1","1","88.702","88.017","87.76","304.6"
"96","2","15","89.297","87.987","88.059","304.3"
"96","3","27","89.48","88.849","89.057","294.5"
"96","4","11","89.631","88.595","89.521","306.2"
