,season,date,race_id,location,circuitName,weather,name,team,enginemanufacturer,status,"accidents per driver, per season","failures per driver, per season"
98,2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,Kimi Raikkonen,Ferrari,Ferrari,DNF,1.0,0.0
99,2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,Sebastian Vettel,RedBull,Renault,F,0.0,3.0
100,2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,Adrian Sutil,Sauber,Ferrari,F,4.0,3.0
101,2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,Kamui Kobayashi,Caterham,Renault,F,1.0,5.0
102,2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,Valtteri Bottas,Williams,Mercedes,F,0.0,1.0
103,2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,Sergio Perez,ForceIndia,Mercedes,F,3.0,0.0
104,2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,Max Chilton,Marussia,Ferrari,F,2.0,1.0
105,2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,Jules Bianchi,Marussia,Ferrari,F,1.0,1.0
106,2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,Marcus Ericsson,Caterham,Renault,DNF,1.0,4.0
107,2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,Esteban Gutierrez,Sauber,Ferrari,DNF,3.0,3.0
108,2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,Pastor Maldonado,LotusF1,Renault,F,0.0,6.0
109,2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,Romain Grosjean,LotusF1,Renault,F,1.0,5.0
110,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Lewis Hamilton,Mercedes,Mercedes,F,0.0,3.0
111,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Daniel Ricciardo,RedBull,Renault,F,0.0,2.0
112,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Nico Rosberg,Mercedes,Mercedes,F,0.0,2.0
113,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Kevin Magnussen,McLaren,Mercedes,F,0.0,1.0
114,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Fernando Alonso,Ferrari,Ferrari,F,0.0,2.0
115,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Jean-Eric Vergne,ToroRosso,Renault,F,0.0,5.0
116,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Nico Hulkenberg,ForceIndia,Mercedes,F,1.0,1.0
117,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Daniil Kvyat,ToroRosso,Renault,DNF,0.0,5.0
118,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Felipe Massa,Williams,Mercedes,DNF,3.0,0.0
119,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Jenson Button,McLaren,Mercedes,F,0.0,0.0
120,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Kimi Raikkonen,Ferrari,Ferrari,F,1.0,0.0
121,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Sebastian Vettel,RedBull,Renault,F,0.0,3.0
122,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Adrian Sutil,Sauber,Ferrari,DNF,4.0,3.0
123,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Kamui Kobayashi,Caterham,Renault,F,1.0,5.0
