season,date,race_id,location,driver_id,name,team,enginemanufacturer,resultposition,gridposition,status,completedlaps,comment,nolaps,tracklength
2014,2014-04-20,4,Shanghai,10,Jenson Button,McLaren,Mercedes,11,12,F,53,,54,5451
2014,2014-05-11,5,Catalunya,10,Jenson Button,McLaren,Mercedes,11,8,F,65,,66,4655
2014,2014-05-25,6,MonteCarlo,10,Jenson Button,McLaren,Mercedes,6,12,F,77,,78,3337
2014,2014-06-08,7,Montreal,10,Jenson Button,McLaren,Mercedes,4,9,F,70,Race finished behind SC,70,4361
2014,2014-06-22,8,Spielberg,10,Jenson Button,McLaren,Mercedes,11,11,F,71,,71,4318
2014,2014-07-06,9,Silverstone,10,Jenson Button,McLaren,Mercedes,4,3,F,52,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-20,10,Hockenheim,10,Jenson Button,McLaren,Mercedes,8,11,F,67,,67,4574
2014,2014-07-27,11,Budapest,10,Jenson Button,McLaren,Mercedes,10,7,F,70,Wet in the beginning,70,4381
2014,2014-08-24,12,Spa,10,Jenson Button,McLaren,Mercedes,6,10,F,44,,44,7004
2014,2014-09-07,13,Monza,10,Jenson Button,McLaren,Mercedes,8,6,F,53,,53,5793
2014,2014-09-21,14,Singapore,10,Jenson Button,McLaren,Mercedes,18,11,DNF,52,,60,5063
2014,2014-10-05,15,Suzuka,10,Jenson Button,McLaren,Mercedes,5,8,F,44,"Wet race, start behind SC, race interrupted in lap 2/3 for 15 minutes (in the pit), restart behind SC, race finally interrupted after lap 46, race officially ended after lap 44",44,5807
2014,2014-10-12,16,Sochi,10,Jenson Button,McLaren,Mercedes,4,4,F,53,,53,5848
2014,2014-11-02,17,Austin,10,Jenson Button,McLaren,Mercedes,12,12,F,55,,56,5513
2014,2014-11-09,18,SaoPaulo,10,Jenson Button,McLaren,Mercedes,4,5,F,71,,71,4309
2014,2014-11-23,19,YasMarina,10,Jenson Button,McLaren,Mercedes,5,6,F,55,,55,5554
2014,2014-03-16,1,Melbourne,11,Kimi Raikkonen,Ferrari,Ferrari,7,11,F,57,,57,5303
2014,2014-03-30,2,KualaLumpur,11,Kimi Raikkonen,Ferrari,Ferrari,12,6,F,55,,56,5543
2014,2014-04-06,3,Sakhir,11,Kimi Raikkonen,Ferrari,Ferrari,10,5,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-20,4,Shanghai,11,Kimi Raikkonen,Ferrari,Ferrari,8,11,F,54,,54,5451
2014,2014-05-11,5,Catalunya,11,Kimi Raikkonen,Ferrari,Ferrari,7,6,F,65,,66,4655
2014,2014-05-25,6,MonteCarlo,11,Kimi Raikkonen,Ferrari,Ferrari,12,6,F,77,,78,3337
2014,2014-06-08,7,Montreal,11,Kimi Raikkonen,Ferrari,Ferrari,10,10,F,70,Race finished behind SC,70,4361
